year,month,total_prep_time_mins,prep_time/event
2041,4,1258846,1258846.0
2041,5,1263886,1263886.0
2041,6,1267918,1267918.0
2041,7,1271950,1271950.0
2041,8,1276990,1276990.0
2041,9,1281022,1281022.0
2041,10,1285054,1285054.0
2041,11,1290100,1290100.0
2041,12,1294132,1294132.0
2042,1,1299172,1299172.0
2042,2,1303204,1303204.0
2042,3,1307230,1307230.0
2042,4,1311262,1311262.0
2042,5,1316302,1316302.0
2042,6,1320334,1320334.0
2042,7,1324366,1324366.0
2042,8,1329406,1329406.0
2042,9,1333438,1333438.0
2042,10,1338478,1338478.0
2042,11,1342516,1342516.0
2042,12,1346548,1346548.0
2043,1,1351588,1351588.0
2043,2,1355620,1355620.0
2043,3,1359646,1359646.0
2043,4,1364686,1364686.0
2043,5,1368718,1368718.0
2043,6,1372750,1372750.0
2043,7,1377790,1377790.0
2043,8,1381822,1381822.0
2043,9,1385854,1385854.0
2043,10,1390894,1390894.0
2043,11,1394932,1394932.0
2043,12,1398964,1398964.0
2044,1,1404004,1404004.0
2044,2,1408036,1408036.0
2044,3,1412062,1412062.0
2044,4,1417102,1417102.0
2044,5,1421134,1421134.0
2044,6,1426174,1426174.0
2044,7,1430206,1430206.0
2044,8,1434238,1434238.0
2044,9,1439278,1439278.0
2044,10,1443310,1443310.0
2044,11,1447348,1447348.0
2044,12,1452388,1452388.0
2045,1,1456420,1456420.0
2045,2,1461460,1461460.0
2045,3,1465486,1465486.0
2045,4,1469518,1469518.0
2045,5,1473550,1473550.0
2045,6,1478590,1478590.0
2045,7,1482622,1482622.0
2045,8,1486654,1486654.0
2045,9,1491694,1491694.0
2045,10,1495726,1495726.0
2045,11,1500772,1500772.0
2045,12,1504804,1504804.0
2046,1,1508836,1508836.0
2046,2,1513876,1513876.0
2046,3,1517902,1517902.0
2046,4,1521934,1521934.0
2046,5,1525966,1525966.0
2046,6,1531006,1531006.0
2046,7,1535038,1535038.0
2046,8,1540078,1540078.0
2046,9,1544110,1544110.0
2046,10,1548142,1548142.0
2046,11,1553188,1553188.0
2046,12,1557220,1557220.0
2047,1,1561252,1561252.0
2047,2,1566292,1566292.0
2047,3,1570318,1570318.0
2047,4,1574350,1574350.0
2047,5,1579390,1579390.0
2047,6,1583422,1583422.0
2047,7,1587454,1587454.0
2047,8,1592494,1592494.0
2047,9,1596526,1596526.0
2047,10,1600558,1600558.0
2047,11,1605604,1605604.0
2047,12,1609636,1609636.0
2048,1,1614676,1614676.0
2048,2,1618708,1618708.0
2048,3,1622734,1622734.0
2048,4,1627774,1627774.0
2048,5,1631806,1631806.0
2048,6,1635838,1635838.0
2048,7,3642780,1821390.0
2048,8,1644910,1644910.0
2048,9,1648942,1648942.0
2048,10,1653982,1653982.0
2048,11,1658020,1658020.0
2048,12,1662052,1662052.0
2049,1,1667092,1667092.0
2049,2,1671124,1671124.0
2049,3,1675150,1675150.0
2049,4,1680190,1680190.0
2049,5,1684222,1684222.0
2049,6,1688254,1688254.0
2049,7,1693294,1693294.0
2049,8,1697326,1697326.0
2049,9,1702366,1702366.0
2049,10,1706398,1706398.0
2049,11,1710436,1710436.0
2049,12,1715476,1715476.0
2050,1,1719508,1719508.0
2050,2,1723540,1723540.0
2050,3,1727566,1727566.0
2050,4,1732606,1732606.0
2050,5,1736638,1736638.0
2050,6,1741678,1741678.0
2050,7,1745710,1745710.0
2050,8,1749742,1749742.0
2050,9,1754782,1754782.0
2050,10,3474292,1737146.0
2050,11,1762852,1762852.0
2050,12,1767892,1767892.0
2051,1,1771924,1771924.0
2051,2,1776964,1776964.0
2051,3,1780990,1780990.0
2051,4,1785022,1785022.0
2051,5,1789054,1789054.0
2051,6,1794094,1794094.0
2051,7,1798126,1798126.0
2051,8,1802158,1802158.0
2051,9,1807198,1807198.0
2051,10,1811230,1811230.0
2051,11,1816276,1816276.0
2051,12,1820308,1820308.0
2052,1,1824340,1824340.0
2052,2,1829380,1829380.0
2052,3,1833406,1833406.0
2052,4,1837438,1837438.0
2052,5,1842478,1842478.0
2052,6,1846510,1846510.0
2052,7,1850542,1850542.0
2052,8,1855582,1855582.0
2052,9,1859614,1859614.0
2052,10,1863646,1863646.0
2052,11,1868692,1868692.0
2052,12,1872724,1872724.0
2053,1,1877764,1877764.0
2053,2,1881796,1881796.0
2053,3,1885822,1885822.0
2053,4,1889854,1889854.0
2053,5,1894894,1894894.0
2053,6,1898926,1898926.0
2053,7,1902958,1902958.0
2053,8,1907998,1907998.0
2053,9,1912030,1912030.0
2053,10,1917070,1917070.0
2053,11,1921108,1921108.0
2053,12,1925140,1925140.0
2054,1,1930180,1930180.0
2054,2,1934212,1934212.0
2054,3,1938238,1938238.0
2054,4,1943278,1943278.0
2054,5,1947310,1947310.0
2054,6,1951342,1951342.0
2054,7,1956382,1956382.0
2054,8,1960414,1960414.0
2054,9,1964446,1964446.0
2054,10,1969486,1969486.0
2054,11,1973524,1973524.0
2054,12,1977556,1977556.0
2055,1,1982596,1982596.0
2055,2,1986628,1986628.0
2055,3,1990654,1990654.0
2055,4,1995694,1995694.0
2055,5,1999726,1999726.0
2055,6,2003758,2003758.0
2055,7,2008798,2008798.0
2055,8,2012830,2012830.0
2055,9,2017870,2017870.0
2055,10,2021902,2021902.0
2055,11,2025940,2025940.0
2055,12,2030980,2030980.0
2056,1,2035012,2035012.0
2056,2,2039044,2039044.0
2056,3,2044078,2044078.0
2056,4,2048110,2048110.0
2056,5,2052142,2052142.0
2065,5,2485733,2485733.0
2123,9,5553833,5553833.0
