year,month,Career,Movements,3,4,Education,8,9,10,11,LGBTQ,13,14,Hobbies,16,21,22,23,24,25,27,28,29,Sports,33,34,Writing
2007,7,0,0,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0
2007,8,0,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0
2007,9,0,0,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0
2007,10,0,0,167,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0
2007,11,0,0,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0
2007,12,0,0,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0
2008,1,0,0,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0
2008,2,0,0,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0
2008,3,0,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0
2008,4,0,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0
2008,5,0,0,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0
2008,6,0,0,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0
2008,7,0,0,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0
2008,8,0,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0
2008,9,0,0,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0
2008,10,0,0,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0
2008,11,0,0,246,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0
2008,12,0,0,249,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0
2009,1,0,0,321,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0
2009,2,0,0,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0
2009,3,0,0,370,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0
2009,4,0,0,396,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0
2009,5,0,0,435,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0
2009,6,0,0,499,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0
2009,7,0,0,484,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0
2009,8,0,0,451,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0
2009,9,0,0,521,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0
2009,10,0,0,534,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0
2009,11,0,0,491,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0
2009,12,0,0,444,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0
2010,1,0,1,511,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0
2010,2,0,1,546,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0
2010,3,0,1,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0
2010,4,0,0,644,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,0
2010,5,0,2,674,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0
2010,6,0,1,684,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0
2010,7,0,0,740,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0
2010,8,0,3,781,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0
2010,9,0,3,908,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,0
2010,10,0,5,918,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,0
2010,11,0,4,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0
2010,12,0,2,711,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,0
2011,1,0,2,956,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,0
2011,2,0,2,1132,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0
2011,3,0,0,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,0
2011,4,0,5,1120,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,0
2011,5,0,4,1196,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,0
2011,6,0,5,1219,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,0
2011,7,0,2,1094,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,0
2011,8,0,4,1125,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0
2011,9,0,3,1336,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,0
2011,10,0,5,1425,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0
2011,11,0,1,1414,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0
2011,12,0,4,1274,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,0
2012,1,0,3,1479,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0
2012,2,0,3,1746,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746,0
2012,3,0,8,1819,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819,0
2012,4,0,10,1883,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,0
2012,5,0,7,2104,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,0
2012,6,0,9,2100,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0
2012,7,0,8,2006,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0
2012,8,0,9,2107,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107,0
2012,9,0,7,2243,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0
2012,10,0,10,2436,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436,0
2012,11,0,7,2258,2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258,0
2012,12,1,9,2009,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0
2013,1,3,10,2387,2387,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2384,0
2013,2,2,16,2650,2650,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,0
2013,3,4,10,2891,2891,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2887,0
2013,4,3,16,3032,3032,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3029,0
2013,5,2,9,3149,3149,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3147,0
2013,6,5,13,3262,3262,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,0
2013,7,4,10,3098,3098,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,0
2013,8,2,10,3121,3121,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3119,0
2013,9,2,10,3374,3374,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3372,0
2013,10,2,9,3912,3912,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3910,0
2013,11,2,9,3578,3578,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3576,0
2013,12,2,9,3116,3116,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3114,0
2014,1,2,8,3601,3601,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3599,0
2014,2,7,14,3939,3939,2,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,3932,0
2014,3,8,12,4329,4329,4,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,4321,0
2014,4,8,10,4564,4564,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4556,0
2014,5,10,12,4661,4660,4,0,0,1,0,0,9,0,0,0,0,0,1,0,4,0,0,0,0,0,4651,0
2014,6,8,14,4636,4633,2,0,0,0,0,0,8,0,0,0,0,0,3,0,2,0,0,0,0,0,4625,0
2014,7,6,8,4528,4526,4,0,1,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,1,0,4520,0
2014,8,4,15,4717,4714,2,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,4710,0
2014,9,7,14,5059,5057,8,0,1,1,1,0,5,0,0,0,0,0,2,0,0,0,0,1,0,0,5052,0
2014,10,5,46,5722,5720,3,1,2,0,1,0,4,0,0,0,0,1,2,1,0,0,1,1,1,0,5715,0
2014,11,6,35,5363,5361,3,0,2,0,2,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,5357,0
2014,12,8,23,4672,4670,5,0,1,0,1,0,7,0,0,0,0,0,2,0,10,0,0,1,0,0,4663,0
2015,1,9,16,5284,5282,5,1,1,0,1,0,8,0,0,0,0,0,2,0,1,0,0,1,0,0,5274,0
2015,2,13,36,5725,5722,2,1,1,0,0,0,12,0,0,0,0,0,2,0,3,1,0,0,1,0,5710,0
2015,3,16,29,6551,6550,4,3,2,2,2,0,11,0,0,0,0,0,1,0,4,1,0,2,0,0,6539,0
2015,4,8,25,6450,6445,11,0,3,0,2,0,5,0,0,0,0,0,4,0,2,1,0,2,1,0,6440,0
2015,5,8,31,6477,6475,8,1,1,0,1,0,5,0,0,0,0,0,2,0,8,1,0,1,0,0,6470,0
2015,6,9,23,6505,6503,11,1,1,0,1,0,7,0,0,0,0,0,2,0,1,1,0,1,0,0,6496,0
2015,7,11,20,6311,6309,8,0,1,0,1,0,7,0,0,0,1,0,2,0,1,1,0,1,0,0,6302,0
2015,8,7,23,6300,6298,6,2,1,0,1,0,6,0,0,0,0,1,3,1,3,1,1,1,0,0,6291,0
2015,9,12,26,6751,6749,13,2,1,0,1,0,5,0,4,0,0,0,2,0,2,1,0,1,0,0,6744,0
2015,10,17,26,7125,7124,6,4,2,0,1,3,5,0,5,0,0,2,2,2,1,1,2,1,1,0,7117,0
2015,11,19,23,6459,6458,15,2,1,1,1,3,5,0,7,0,0,0,1,0,0,0,0,1,0,0,6453,0
2015,12,15,16,5790,5788,6,1,1,0,1,3,5,0,5,0,0,0,2,0,0,1,0,1,0,0,5783,0
2016,1,15,35,6542,6539,13,0,2,0,1,3,4,0,4,0,1,0,2,0,2,1,0,1,1,0,6535,0
2016,2,21,35,7139,7137,21,1,3,0,2,3,5,1,8,0,0,1,2,1,1,1,1,2,1,1,7130,0
2016,3,17,37,8020,8019,15,1,2,0,1,2,5,1,6,0,0,1,1,1,3,0,1,1,1,1,8012,0
2016,4,27,38,8030,8026,13,0,2,1,1,4,5,1,11,0,0,0,3,0,3,1,0,1,1,1,8020,0
2016,5,21,38,7942,7939,14,0,2,0,1,3,6,1,9,0,0,0,2,0,0,1,0,1,1,1,7932,0
2016,6,23,32,7909,7906,6,0,2,1,1,1,5,1,12,0,1,0,2,0,1,1,0,1,1,1,7900,0
2016,7,22,38,7444,7442,8,0,3,0,2,3,4,1,12,0,0,0,1,0,3,1,0,2,1,1,7437,0
2016,8,22,41,7931,7927,10,0,2,0,1,2,5,0,13,0,0,0,3,0,2,0,0,1,1,0,7922,0
2016,9,17,47,8344,8342,14,1,2,1,1,3,4,1,5,0,0,1,2,1,1,1,1,1,1,1,8336,0
2016,10,23,48,8525,8522,17,0,2,1,1,5,5,1,7,0,0,0,2,0,6,1,0,1,1,1,8516,0
2016,11,17,45,7776,7773,12,0,3,0,2,3,4,0,3,0,0,0,2,0,2,0,0,2,1,0,7769,0
2016,12,18,37,6785,6780,10,1,1,0,1,4,5,0,5,0,0,0,5,0,1,1,0,1,0,0,6775,0
2017,1,24,44,7661,7655,12,0,2,0,1,4,8,1,5,0,1,0,5,0,1,1,0,1,1,1,7646,0
2017,2,22,46,8219,8214,14,0,2,0,1,1,6,0,10,0,0,0,3,0,2,1,0,1,1,0,8208,1
2017,3,32,56,9027,9021,9,2,3,0,2,7,7,0,14,0,0,1,5,1,1,1,1,2,1,0,9013,1
2017,4,25,40,8762,8758,14,2,2,0,1,2,5,0,12,0,0,2,4,2,1,0,2,1,1,0,8751,1
2017,5,26,49,8790,8785,16,1,4,0,3,4,6,0,10,0,0,1,3,1,1,1,1,3,1,0,8778,2
2017,6,23,53,8908,8903,17,1,2,0,1,1,5,0,12,0,0,1,3,1,2,0,1,1,1,0,8897,2
2017,7,20,49,8231,8223,20,1,2,0,1,3,6,0,5,0,1,1,4,1,2,1,1,1,1,0,8216,4
2017,8,19,53,8847,8846,22,3,6,0,5,2,4,0,3,0,1,3,2,3,2,0,3,5,1,0,8839,1
2017,9,23,54,8694,8690,20,2,2,0,1,5,8,0,7,0,0,2,3,2,0,1,2,1,1,0,8680,2
2017,10,29,61,9116,9106,25,1,0,0,0,4,7,0,11,0,0,0,5,0,0,0,0,0,0,0,9099,5
2017,11,20,50,8563,8553,24,0,3,0,2,2,6,0,4,0,0,0,2,0,6,0,0,2,1,0,8547,7
2017,12,17,49,7022,7012,25,0,2,0,1,4,3,0,7,0,0,0,4,0,0,1,0,1,1,0,7009,5
2018,1,21,39,8101,8091,22,0,2,0,1,4,6,0,7,0,0,0,2,0,2,1,0,1,1,0,8085,7
2018,2,20,30,8538,8531,22,0,1,0,1,1,5,0,9,0,0,0,1,0,2,0,0,1,0,0,8526,6
2018,3,28,57,9341,9330,27,0,5,2,4,4,3,0,13,0,0,0,3,0,0,1,0,4,1,0,9327,7
2018,4,21,42,9222,9213,23,0,2,0,2,1,4,0,10,0,0,0,2,0,3,0,0,2,0,0,9209,7
2018,5,20,35,9746,9732,16,0,3,0,2,1,6,0,9,0,0,0,5,0,0,1,0,2,1,0,9726,8
2018,6,25,35,9259,9250,21,0,2,0,2,1,7,0,11,0,1,0,3,0,0,0,0,2,0,0,9243,6
2018,7,26,38,8809,8801,15,0,1,0,0,3,8,0,12,0,0,0,1,0,0,1,0,0,1,0,8793,6
2018,8,21,34,9110,9101,20,0,1,0,1,1,9,0,9,0,0,0,2,0,0,1,0,1,0,0,9092,7
2018,9,24,34,9250,9242,22,0,2,0,1,0,10,1,9,0,0,0,1,0,0,1,0,1,1,1,9231,6
2018,10,25,34,10045,10034,20,0,5,0,4,0,13,0,5,0,0,0,3,0,0,0,0,4,1,0,10021,7
2018,11,21,28,8954,8946,30,0,3,0,3,0,12,0,3,1,0,0,2,0,0,1,0,3,0,0,8934,6
2018,12,20,29,7928,7922,24,0,2,0,1,1,7,1,6,1,0,0,1,0,0,0,0,1,1,1,7914,4
2019,1,16,34,9105,9091,28,0,1,0,1,2,7,0,4,1,0,0,2,0,0,1,0,1,0,0,9084,12
2019,2,17,31,9245,9239,24,0,1,0,1,0,7,1,5,2,0,0,0,0,0,0,0,1,0,1,9231,6
2019,3,14,49,9585,9576,22,0,1,0,1,1,7,0,4,1,0,0,3,0,0,1,0,1,0,0,9569,6
2019,4,16,39,9806,9796,22,0,1,0,1,0,8,0,4,1,1,0,4,0,0,0,0,1,0,0,9788,6
2019,5,20,40,9765,9758,19,0,0,0,0,2,7,1,8,1,0,0,0,0,0,1,0,0,0,1,9750,7
2019,6,22,38,9655,9647,21,0,1,0,1,0,9,1,7,2,1,0,2,0,0,1,0,1,0,1,9637,6
2019,7,16,32,9196,9190,21,0,1,0,0,0,7,1,3,1,2,0,0,0,0,1,0,0,1,1,9182,5
2019,8,17,39,9636,9628,18,0,0,1,0,0,7,1,3,2,1,0,6,0,0,0,0,0,0,1,9620,2
2019,9,24,54,9458,9450,18,0,2,0,2,0,7,1,9,2,1,0,6,0,3,1,0,2,0,1,9442,2
2019,10,14,42,10275,10272,12,0,1,0,1,1,4,1,5,2,0,0,1,0,0,0,0,1,0,1,10267,2
